time,Ih,Ih_gil
3923,7.834749520142327,8
3924,7.834749520142327,8
3925,7.834749520142327,7.5
3926,7.834749520142327,7.333333333333333
3928,7.834749520142327,6
3929,7.834749520142327,6
3931,7.834749520142327,6.2
3933,7.834749520142327,7
3934,7.834749520142327,7
3935,7.834749520142327,7
3937,7.834749520142327,7
3938,7.834749520142327,7
3940,7.834749520142327,8
3941,7.834749520142327,8
3942,7.834749520142327,8
3943,7.834749520142327,8
3944,7.834749520142327,8
3945,7.834749520142327,7
3947,7.834749520142327,8
3948,7.834749520142327,8
3949,7.834749520142327,8
3950,7.834749520142327,9
3951,7.834749520142327,9
3952,7.834749520142327,8
3953,7.834749520142327,8
3955,7.834749520142327,7.5
3956,7.834749520142327,7
3958,7.834749520142327,7
3959,7.834749520142327,7
3960,7.834749520142327,8.666666666666666
3961,7.834749520142327,8.666666666666666
3962,7.834749520142327,7.2
3963,7.834749520142327,7
3965,7.834749520142327,7.333333333333333
3966,7.834749520142327,8
3967,7.834749520142327,7.5
3968,7.834749520142327,8
3969,7.834749520142327,8
3970,7.834749520142327,8
3971,7.834749520142327,8
3972,7.834749520142327,7
3973,7.834749520142327,7
3975,7.834749520142327,7
3976,7.834749520142327,7
3979,7.834749520142327,6
3981,7.834749520142327,6
3982,7.834749520142327,5.25
3983,7.834749520142327,5.5
3984,7.834749520142327,6
3985,7.834749520142327,6
3986,7.834749520142327,6.75
3987,7.834749520142327,7.6
3988,7.834749520142327,7
3989,7.834749520142327,7
3990,7.834749520142327,7
3991,7.834749520142327,7.5
3992,7.834749520142327,8
3993,7.834749520142327,8
3994,7.834749520142327,7
3995,7.834749520142327,6
3997,7.834749520142327,6
3998,7.834749520142327,5.4
3999,7.834749520142327,5
4000,7.834749520142327,5
4001,7.834749520142327,5
4002,7.834749520142327,5.5
4003,7.834749520142327,6.5
4004,7.834749520142327,6
4005,7.834749520142327,5
4006,7.834749520142327,4
4007,7.834749520142327,5
4008,7.834749520142327,6
4009,7.834749520142327,5.333333333333333
4010,7.834749520142327,5.75
4011,7.834749520142327,5.6
4012,7.834749520142327,6.75
4013,7.834749520142327,7
4014,7.834749520142327,6.4
4015,7.834749520142327,5
4016,7.834749520142327,5
4017,7.834749520142327,5.333333333333333
4018,7.834749520142327,4.333333333333333
4019,7.834749520142327,5.25
4020,7.834749520142327,6
4021,7.834749520142327,6
4022,7.834749520142327,5
4023,7.834749520142327,5.5
4024,7.834749520142327,6.8
4025,7.834749520142327,7
4026,7.834749520142327,7
4027,7.834749520142327,8
4028,7.834749520142327,7
4029,7.834749520142327,7.5
4031,7.834749520142327,8.8
4032,7.834749520142327,10
4033,7.834749520142327,10
4034,7.834749520142327,9
4035,7.834749520142327,9
4036,7.834749520142327,9
4037,7.834749520142327,9
4038,7.834749520142327,9
4039,7.834749520142327,8
4040,7.834749520142327,9
4041,7.834749520142327,9
4042,7.834749520142327,8.25
4043,7.834749520142327,8
4044,7.834749520142327,8.333333333333334
4045,7.834749520142327,8.25
4046,7.834749520142327,9
4047,7.834749520142327,9
4048,7.834749520142327,9.25
4049,7.834749520142327,9
4050,7.834749520142327,9
4051,7.834749520142327,9
4052,7.834749520142327,9
4053,7.834749520142327,9
4054,7.834749520142327,9
4055,7.834749520142327,7.833333333333333
4056,7.834749520142327,8
4057,7.834749520142327,8
4059,7.834749520142327,8
4060,7.834749520142327,6.75
4061,7.834749520142327,6
4062,7.834749520142327,6.333333333333333
4063,7.834749520142327,7
4064,7.834749520142327,6
4066,7.834749520142327,6
4067,7.834749520142327,6
4068,7.834749520142327,5
4069,7.834749520142327,5
4070,7.834749520142327,6
4071,7.834749520142327,6
4072,7.834749520142327,6
4074,7.834749520142327,6
4075,7.834749520142327,6
4076,7.834749520142327,6.5
4077,7.834749520142327,8
4078,7.834749520142327,8
4080,7.834749520142327,9
4081,7.834749520142327,9.25
4082,7.834749520142327,10
4083,7.834749520142327,10
4084,7.834749520142327,10
4085,7.834749520142327,10
4086,7.834749520142327,10
4087,7.834749520142327,10
4088,7.834749520142327,9
4089,7.834749520142327,9
4090,7.834749520142327,10
4091,7.834749520142327,10
4092,7.834749520142327,10
4093,7.834749520142327,9.666666666666666
4095,7.834749520142327,10
4096,7.834749520142327,10
4097,7.834749520142327,10
4098,7.834749520142327,10
4099,7.834749520142327,10
4100,7.834749520142327,10
4101,7.834749520142327,10
4102,7.834749520142327,10
4103,7.834749520142327,10
4104,7.834749520142327,10
4105,7.834749520142327,10
4106,7.834749520142327,10
4108,7.834749520142327,10
4109,7.834749520142327,10
4110,7.834749520142327,9
4111,7.834749520142327,9
4112,7.834749520142327,9
4113,7.834749520142327,9
4114,7.834749520142327,9
4115,7.834749520142327,9
4116,7.834749520142327,9
4117,7.834749520142327,8
4118,7.834749520142327,8
4119,7.834749520142327,8
4120,7.834749520142327,8
4121,7.834749520142327,8.25
4122,7.834749520142327,8
4123,7.834749520142327,8
4124,7.834749520142327,8.333333333333334
4125,7.834749520142327,9
4126,7.834749520142327,9
4128,7.834749520142327,9.333333333333334
4129,7.834749520142327,9
4130,7.834749520142327,9
4131,7.834749520142327,8
4132,7.834749520142327,9
4133,7.834749520142327,9
4134,7.834749520142327,9.5
4135,7.834749520142327,9
4137,7.834749520142327,8.333333333333334
4138,7.834749520142327,8
4139,7.834749520142327,8
4140,7.834749520142327,8.666666666666666
4141,7.834749520142327,9
4142,7.834749520142327,9
4143,7.834749520142327,8.75
4144,7.834749520142327,9.5
4145,7.834749520142327,10
4146,7.834749520142327,9.5
4147,7.834749520142327,9
4148,7.834749520142327,8
4149,7.834749520142327,8
4150,7.834749520142327,8
4151,7.834749520142327,8
4152,7.834749520142327,7
4153,7.834749520142327,8
4154,7.834749520142327,8
4155,7.834749520142327,8
4157,7.834749520142327,8
4158,7.834749520142327,8
4159,7.834749520142327,8
4160,7.834749520142327,7.833333333333333
4161,7.834749520142327,8
4162,7.834749520142327,8.666666666666666
4163,7.834749520142327,9
4164,7.834749520142327,9
4165,7.834749520142327,9
4166,7.834749520142327,8.5
4167,7.834749520142327,8
4168,7.834749520142327,8.666666666666666
4169,7.834749520142327,9
4170,7.834749520142327,8.5
4171,7.834749520142327,8
4172,7.834749520142327,9
4173,7.834749520142327,9.333333333333334
4174,7.834749520142327,9.5
4175,7.834749520142327,7.75
4176,7.834749520142327,7
4177,7.834749520142327,6.666666666666667
4179,7.834749520142327,7
4180,7.834749520142327,6.333333333333333
4181,7.834749520142327,6
4182,7.834749520142327,7.5
4183,7.834749520142327,9
4184,7.834749520142327,9
4185,7.834749520142327,9
4186,7.834749520142327,9.5
4187,7.834749520142327,10
4188,7.834749520142327,8.5
4190,7.834749520142327,7.666666666666667
4191,7.834749520142327,8.5
4192,7.834749520142327,9.2
4193,7.834749520142327,9
4194,7.834749520142327,9
4195,7.834749520142327,9
4196,7.834749520142327,9
4197,7.834749520142327,9
4198,7.834749520142327,9
4199,7.834749520142327,9
4200,7.834749520142327,9
4201,7.834749520142327,8
4202,7.834749520142327,7.75
4203,7.834749520142327,8
4204,7.834749520142327,7.25
4205,7.834749520142327,6
4206,7.834749520142327,6.166666666666667
4207,7.834749520142327,6
4209,7.834749520142327,6.5
4210,7.834749520142327,6.333333333333333
4211,7.834749520142327,6
4212,7.834749520142327,7
4214,7.834749520142327,7.333333333333333
4215,7.834749520142327,8.333333333333334
4216,7.834749520142327,9
4217,7.834749520142327,10
4218,7.834749520142327,10
4219,7.834749520142327,9.75
4220,7.834749520142327,10
4222,7.834749520142327,10
4223,7.834749520142327,9.2
4224,7.834749520142327,8.666666666666666
4225,7.834749520142327,8
4226,7.834749520142327,8
4227,7.834749520142327,8.5
4228,7.834749520142327,8.5
4229,7.834749520142327,9
4230,7.834749520142327,8.5
4231,7.834749520142327,8
4232,7.834749520142327,6.5
4233,7.834749520142327,6
4234,7.834749520142327,6
4235,7.834749520142327,6
4236,7.834749520142327,6
4237,7.834749520142327,6
4238,7.834749520142327,6
4239,7.834749520142327,6
4241,7.834749520142327,7
4242,7.834749520142327,7
4243,7.834749520142327,7
4245,7.834749520142327,7.8
4247,7.834749520142327,8.75
4248,7.834749520142327,8.5
4249,7.834749520142327,8
4250,7.834749520142327,8
4251,7.834749520142327,8
4252,7.834749520142327,8
4253,7.834749520142327,8
4254,7.834749520142327,8
4256,7.834749520142327,8
4257,7.834749520142327,8
4258,7.834749520142327,8.6
4259,7.834749520142327,10
4260,7.834749520142327,9
4261,7.834749520142327,9
4262,7.834749520142327,9
4263,7.834749520142327,9
4264,7.834749520142327,9
4265,7.834749520142327,8.25
4266,7.834749520142327,8.6
4267,7.834749520142327,9
4268,7.834749520142327,9
4269,7.834749520142327,9
4271,7.834749520142327,9
4272,7.834749520142327,8
4273,7.834749520142327,8
4274,7.834749520142327,8
4275,7.834749520142327,8
4276,7.834749520142327,8
4278,7.834749520142327,8
4279,7.834749520142327,7
4280,7.834749520142327,7
4281,7.834749520142327,7
4282,7.834749520142327,7
4283,7.834749520142327,7
4284,7.834749520142327,7
4285,7.834749520142327,7
4286,7.834749520142327,6.5
4287,7.834749520142327,6
4288,7.834749520142327,6
4289,7.834749520142327,7
4290,7.834749520142327,8
4291,7.834749520142327,8
4292,7.834749520142327,7
4293,7.834749520142327,7
4294,7.834749520142327,7
4295,7.834749520142327,7
4296,7.834749520142327,6.333333333333333
4297,7.834749520142327,6
4299,7.834749520142327,6
4300,7.834749520142327,7
4301,7.834749520142327,7
4304,7.834749520142327,8
4305,7.834749520142327,8
4306,7.834749520142327,8
4308,7.834749520142327,6.75
4310,7.834749520142327,6
4311,7.834749520142327,6
4312,7.834749520142327,6
4313,7.834749520142327,6
4315,7.834749520142327,5
4316,7.834749520142327,6
4317,7.834749520142327,7
4318,7.834749520142327,7
4319,7.834749520142327,6.25
4321,7.834749520142327,4.666666666666667
4322,7.834749520142327,5
4323,7.834749520142327,6
4324,7.834749520142327,6
4325,7.834749520142327,5.75
4328,7.834749520142327,5.333333333333333
4329,7.834749520142327,5
4331,7.834749520142327,5
4333,7.834749520142327,5.5
4334,7.834749520142327,6
4335,7.834749520142327,7
4336,7.834749520142327,7
4337,7.834749520142327,7
4338,7.834749520142327,8
4340,7.834749520142327,8
4341,7.834749520142327,8
4342,7.834749520142327,8
4343,7.834749520142327,8
4345,7.834749520142327,8
4347,7.834749520142327,7.666666666666667
4348,7.834749520142327,6.666666666666667
4349,7.834749520142327,6.666666666666667
4350,7.834749520142327,8.25
4351,7.834749520142327,9
4352,7.834749520142327,9
4355,7.834749520142327,8
4357,7.834749520142327,8
4358,7.834749520142327,8
4359,7.834749520142327,8.5
4361,7.834749520142327,9
4362,7.834749520142327,8.25
4363,7.834749520142327,8
4364,7.834749520142327,8
4366,7.834749520142327,9
4367,7.834749520142327,9
4368,7.834749520142327,8.5
4369,7.834749520142327,8
4370,7.834749520142327,8
4371,7.834749520142327,7.2
4372,7.834749520142327,7
4373,7.834749520142327,6.5
4374,7.834749520142327,6
4376,7.834749520142327,6.8
4377,7.834749520142327,6.666666666666667
4378,7.834749520142327,6
4379,7.834749520142327,6
4380,7.834749520142327,7
4382,7.834749520142327,6.285714285714286
4383,7.834749520142327,6
4384,7.834749520142327,6
4385,7.834749520142327,7
4386,7.834749520142327,7
4387,7.834749520142327,7
4388,7.834749520142327,7.666666666666667
4389,7.834749520142327,8
4390,7.834749520142327,6.75
4391,7.834749520142327,6
4393,7.834749520142327,6
4395,7.834749520142327,6
4398,7.834749520142327,6
4399,7.834749520142327,5
4400,7.834749520142327,5.333333333333333
4401,7.834749520142327,5
4403,7.834749520142327,5.666666666666667
4404,7.834749520142327,5.25
4406,7.834749520142327,5
4407,7.834749520142327,5
4408,7.834749520142327,6
4409,7.834749520142327,6
4410,7.834749520142327,6
4411,7.834749520142327,5.666666666666667
4412,7.834749520142327,5
4413,7.834749520142327,6
4414,7.834749520142327,7
4415,7.834749520142327,7
4416,7.834749520142327,6
4418,7.834749520142327,6.5
4419,7.834749520142327,7
4420,7.834749520142327,7
4421,7.834749520142327,6.5
4422,7.834749520142327,7.333333333333333
4423,7.834749520142327,7
4424,7.834749520142327,7.5
4426,7.834749520142327,8
4427,7.834749520142327,8
4428,7.834749520142327,8
4429,7.834749520142327,6.666666666666667
4431,7.834749520142327,6
4432,7.834749520142327,5
4433,7.834749520142327,5
4435,7.834749520142327,5
4436,7.834749520142327,5
4438,7.834749520142327,5
4439,7.834749520142327,5
4440,7.834749520142327,5
4441,7.834749520142327,5
4443,7.834749520142327,5
4444,7.834749520142327,6
4445,7.834749520142327,6
4446,7.834749520142327,5.25
